title,release_date
MARVEL VS. CAPCOM 2 NEW AGE OF HEROESMarvel vs. Capcom 2,2002-09-19
MAXIMUM CHASE,2002-09-26
ブレイブナイト 〜リーヴェラント英雄伝〜,2002-09-26
真・三國無双2Dynasty Warriors 3,2002-09-26
WWE RAW,2002-10-03
エッグマニア つかんで!まわして!どっすんぱず〜る!Egg Mania: Eggstreme Madness,2002-10-03
JOCKEY'S ROAD,2002-10-10
クラッシュ・バンディクー4 さくれつ!魔神パワーCrash Bandicoot: The Wrath of Cortex,2002-10-24
テトリスワールド,2002-11-14
カンタム レッドシフト 超高速空間バトルレースQuantum Redshift,2002-11-21
デッド トゥ ライツ,2002-11-28
ドリホー,2002-11-28
イノセントティアーズ,2002-12-05
機甲兵団J-PHOENIX＋,2002-12-05
真・女神転生 NINE,2002-12-05
O・TO・GI 〜御伽〜Otogi: Myth of Demons,2002-12-12
ブリンクス・ザ・タイムスイーパー,2002-12-12
峠R,2002-12-12
紅の海 Crimson SeaCrimson Sea,2002-12-12
トライアングルアゲイン2,2002-12-19
パンツァードラグーン オルタ,2002-12-19
式神の城EVOLUTION 紅,2002-12-19
式神の城EVOLUTION 藍,2002-12-19
格闘超人,2003-01-01
CAPCOM VS. SNK2 EO,2003-01-16
Whacked! ギリヤバ!乱闘パーティーテレビ!Whacked!,2003-01-16
ファンタシースターオンライン エピソード1&2,2003-01-16
ギャラクシーエンジェル,2003-01-23
デッド オア アライブ エクストリーム ビーチバレーボール,2003-01-23
Tenerezza,2003-01-30
ザ・ハウス・オブ・ザ・デッド3,2003-01-30
フェイタル フレイム -零 SPECIALEDITION-Fatal FrameProject Zero,2003-02-06
SPIDER-MAN,2003-02-13
マズル フラッシュ,2003-02-27
エンジェリック・コンサート,2003-03-13
サウザンドランド,2003-03-20
バットマン ダークトゥモロー,2003-03-20
ソウルキャリバーII,2003-03-27
ザ・ワイルド・リングス,2003-04-10
N.U.D.E.@ Natural Ultimate Digital Experiment,2003-04-24
信長麻雀,2003-04-24
エクスチェイサーBlack Stone: Magic & Steel,2003-05-22
カンフーパニック,2003-05-29
大戦略VII,2003-05-29
メック アサルト,2003-06-12
ENTER THE MATRIX,2003-06-19
C.A.T 〜サイバーアタックチーム〜,2003-06-26
ディノクライシス3,2003-06-26
ヒットマン：サイレントアサシン,2003-07-03
MotoGP URT2 Online ChallengeMotoGP 2,2003-07-17
ブラッディロア エクストリーム,2003-07-17
レイクマスターズ,2003-07-17
Midtown Madness3,2003-08-07
戦闘妖精雪風 〜妖精の舞う空〜,2003-08-07
CIRCUS DRIVEGroup S Challenge,2003-08-28
ビストロきゅーぴっと2,2003-08-28
レンタヒーローNo.1,2003-09-04
真・三國無双3Dynasty Warriors 4,2003-09-04
ダイナソーハンティング 〜失われた大地〜Dinosaur Hunting,2003-09-18
ゴーストリコンTom Clancy's Ghost Recon,2003-09-25
Brute Force,2003-10-09
Inside Pitch 2003,2003-10-23
NFLフィーバー2004,2003-10-23
Outlaw Golf,2003-10-23
Outlaw Volleyball,2003-10-23
Tao Feng：Fist of Lotus,2003-10-23
プロジェクトゴッサムレーシング2,2003-11-20
魔牙霊 -magatama-,2003-11-20
R:RACING EVOLUTION,2003-11-27
スプリンターセルTom Clancy's Splinter Cell,2003-11-27
エグザスケルトン,2003-12-18
O・TO・GI 〜百鬼討伐絵巻〜Otogi 2: Immortal Warriors,2003-12-25
segaGT Online,2003-12-25
ウェイクボーディング アンリーシュト：フィーチャーリング ショーン マリーWakeboarding Unleashed,2003-12-25
ザ シンプソンズ ヒットアンドラン,2003-12-25
バフィー ザ バンパイヤ スレイヤー：カオス ブリーズ,2003-12-25
リターン トゥ キャッスル：ウルフェンシュタイン タイズ オブ ウォー,2003-12-25
ソニック ヒーローズ,2003-12-30
ぷらすぷらむ2,2004-01-15
NBAインサイド ドライブ2004,2004-01-22
アンリアル チャンピオンシップ,2004-01-22
ハンター：ザ レコニング リディーマー,2004-01-22
auto modellista U.S.-tunedAuto Modellista,2004-01-29
ブレイクダウン,2004-01-29
ローグオプス,2004-02-26
天空 -Tenku- 2Amped 2,2004-02-26
鉄騎大戦Steel Battalion: Line of Contact,2004-02-26
NINJA GAIDEN,2004-03-11
ゴーストリコン アイランドサンダーTom Clancy's Ghost Recon: Island Thunder,2004-03-11
カウンターストライク,2004-03-25
ドクタースースー キャット イン ザ ハット,2004-03-25
リンクス2004,2004-03-25
式神の城II,2004-04-15
電脳大戦 〜DroneZ〜,2004-04-22
ぷよぷよフィーバーPuyo Pop: Fever,2004-04-24
GUILTY GEAR XX #RELOAD,2004-04-29
グーリーズ 〜Grabbed by the Ghoulies〜w:Grabbed by the Ghoulies,2004-04-29
クリムゾン・スカイ：High Road to Revenge,2004-05-20
トニー・ホークス アンダーグラウンド,2004-05-20
メタルアームズ：グリッチ イン ザ システム,2004-05-20
天誅 参 〜回帰ノ章〜Tenchu: Return from Darkness,2004-05-27
青い涙,2004-05-27
ラリースポーツ チャレンジ2,2004-06-10
デウスエクス：インビジブル・ウォー,2004-06-17
メタルスラッグ3,2004-06-24
レインボーシックス3Tom Clancy's Rainbow Six 3,2004-07-08
トップスピンTop Spin Tennis,2004-07-15
X2：ウルヴァリンズ リベンジ,2004-07-22
マジック：ザ ギャザリング バトルグラウンド,2004-07-22
ヴードゥーヴィンス,2004-07-22
グランドセフトオート ダブルパック,2004-07-29
デジモンバトルクロニクルDigimon Rumble Arena 2,2004-07-29
戦国無双Samurai Warriors,2004-07-29
XIII 〜大統領を殺した男〜XIII,2004-08-05
スター・ウォーズ ジェダイナイト：ジェダイアカデミー,2004-09-02
デッド マンズ ハンド,2004-09-02
ファントムダスト,2004-09-23
フル スペクトラム ウォリアー,2004-09-30
SNK VS. CAPCOM SVC CHAOS,2004-10-07
スター・ウォーズ バトルフロント,2004-10-07
ヒットマン：コントラクト,2004-10-14
TRUE CRIME：STREETS OF LA,2004-10-28
サイヴァリア2 〜Extend Edition〜,2004-10-28
ストリートファイターアニバーサリーコレクション,2004-10-28
デッド オア アライブ アルティメット,2004-11-03
HALO2,2004-11-11
"PAL</sup>""}},""i"":0}}]}'>フェイタル フレイム2 クリムゾン バタフライProject Zero II: Crimson ButterflyPAL",2004-11-11
ブリンクス2: バトル・オブ・タイム&スペース,2004-11-18
Mr.インクレディブルThe Incredibles,2004-12-02
ソニック メガコレクション プラス,2004-12-09
GUILTY GEAR ISUKA,2004-12-16
SWAT：グローバル ストライク チーム,2004-12-16
ガングリフォン Allied Strike,2004-12-16
シュレック2,2004-12-16
メタルウルフカオス,2004-12-22
デジモンワールドXDigimon World 4,2005-01-06
メック アサルト2：ローンウルフ,2005-01-20
X-Men レジェンド,2005-01-27
アウトラン2,2005-01-27
ウルトラパズルボブルUltra Bust-a-Move,2005-01-27
キングダムアンダーファイア 〜ザ・クルセイダーズ〜,2005-01-27
ロッキー レジェンド,2005-01-27
スター・ウォーズ リパブリック・コマンド,2005-02-17
メタルスラッグ4,2005-02-24
レインボーシックス3 ブラックアローTom Clancy's Rainbow Six 3: Black Arrow,2005-03-10
フェイブル,2005-03-17
ザ・キング・オブ・ファイターズ2002,2005-03-24
スパイクアウト バトルストリート,2005-03-24
スーパーモンキーボールデラックス,2005-03-24
スプリンターセル パンドラトゥモローTom Clancy's Splinter Cell: Pandora Tomorrow,2005-04-07
コンスタンティン,2005-04-21
フォルツァ モータースポーツ,2005-05-12
レッド・デッド・リボルバー,2005-05-26
"NA</sup>""}},""i"":0}}]}'>CAPCOM FIGHTING JamCapcom Fighting EvolutionNA",2005-06-16
ジェイド エンパイア 〜翡翠の帝国〜Jade Empire,2005-06-16
KOF マキシマムインパクト マニアックスThe King of Fighters: Maximum Impact,2005-06-23
コンカー: Live and Reloaded,2005-06-30
Halo 2 マルチプレイヤー マップ パック,2005-07-07
Sudeki 〜千年の暁の物語〜Sudeki,2005-07-14
メタルスラッグ5,2005-07-28
Atari Anthology,2005-08-04
Rapala Pro Fishing,2005-08-04
ダブル・スティール THE SECOND CLASH,2005-08-04
ザ・キング・オブ・ファイターズ2003,2005-08-25
真・三國無双4,2005-08-25
ブラザー イン アームズ ロード トゥ ヒル サーティー,2005-09-15
レインボーシックス ロックダウンTom Clancy's Rainbow Six: Lockdown,2005-09-22
NINJA GAIDEN Black,2005-09-29
プリンス・オブ・ペルシャ ケンシノココロPrince of Persia: Warrior Within,2005-10-13
コール オブ デューティー ファイネストアワーActivision,2005-10-27
テクモクラシックアーケード,2005-10-27
ビートダウンBeat Down: Fists of Vengeance,2005-11-02
スプリンターセル カオスセオリーTom Clancy's Splinter Cell: Chaos Theory,2005-11-17
シャドウ・ザ・ヘッジホッグ,2005-12-15
ソニックライダーズ,2006-02-23
ザ・キング・オブ・ファイターズ ネオウェイブ,2006-03-30
