発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2006-02-23,エレクトロニック・アーツ,タイガー・ウッズ PGA TOUR 06,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-03-23,エレクトロニック・アーツ,バーンアウト リベンジ,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-03-23,ハドソン,天外魔境 ZIRIA 〜遙かなるジパング〜,2,YES,その他,ハドソン,0,1,Xbox 360
2006-03-23,コーエー,真・三國無双4 EmpiresDynasty Warriors 5 Empires,2,YES,その他,コーエー,0,1,Xbox 360
2006-03-30,タイトーUbisoft,Over GOver G Fighters,2,YES,その他,タイトーUbisoft,0,1,Xbox 360
2006-03-30,ハムスター,ザ・コンビニ200X,2,YES,その他,ハムスター,0,1,Xbox 360
2006-03-30,トミー,ゾイドインフィニティEX NEO,2,YES,その他,トミー,0,1,Xbox 360
2006-03-30,エレクトロニック・アーツ,ファイトナイト ラウンド3,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-03-30,コナミ,ランブルローズXX,2,YES,その他,コナミ,0,1,Xbox 360
2006-04-06,コナミデジタルエンタテインメント,プロ野球スピリッツ3,2,YES,その他,コナミデジタルエンタテインメント,0,1,Xbox 360
2006-04-20,マイクロソフト,NINETY-NINE NIGHTS,2,YES,その他,マイクロソフト,0,1,Xbox 360
2006-04-20,スクウェア・エニックス,ファイナルファンタジーXI オールインワンパック2006,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2006-04-27,エレクトロニック・アーツ,2006 FIFA ワールドカップ ドイツ大会2006 FIFA World Cup,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-04-27,エレクトロニック・アーツ,バトルフィールド2 モダンコンバット,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-05-18,バンダイナムコゲームス,LoveFOOTBALL 青き戦士たちの軌跡,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2006-06-15,コナミデジタルエンタテインメントActivision,コール オブ デューティー2,2,YES,その他,コナミデジタルエンタテインメントActivision,0,1,Xbox 360
2006-06-29,セガ,クロムハウンズ,2,YES,その他,セガ,0,1,Xbox 360
2006-06-29,ユービーアイソフト,ゴーストリコン アドバンスウォーファイターTom Clancy's Ghost Recon Advanced Warfighter,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2006-06-29,アイディアファクトリー,スペクトラルフォース3 イノセントレイジ,2,YES,その他,アイディアファクトリー,0,1,Xbox 360
2006-07-27,バンダイナムコゲームス,ゼーガペイン XOR,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2006-07-27,AQインタラクティブ,バレットウィッチ,2,YES,その他,AQインタラクティブ,0,1,Xbox 360
2006-07-27,スパイク2K Sports,メジャーリーグベースボール2K6,2,YES,その他,スパイク2K Sports,0,1,Xbox 360
2006-07-27,グレフUbisoft,旋光の輪舞 Rev.XWarTech: Senko no Ronde,2,YES,その他,グレフUbisoft,0,1,Xbox 360
2006-07-27,元気Ubisoft,首都高バトルXImport Tuner Challenge,2,YES,その他,元気Ubisoft,0,1,Xbox 360
2006-08-03,ハドソン,BOMBERMAN Act:Zero,2,YES,その他,ハドソン,0,1,Xbox 360
2006-08-03,マイクロソフト2K Sports,トップスピン2,2,YES,その他,マイクロソフト2K Sports,0,1,Xbox 360
2006-08-17,コーエー,戦国無双2Samurai Warriors 2,2,YES,その他,コーエー,0,1,Xbox 360
2006-08-31,セガ,コンデムド サイコクライム,2,YES,その他,セガ,0,1,Xbox 360
2006-09-07,元気Majesco Entertainment,剣豪ZEROKengo: Legend of the 9,2,YES,その他,元気Majesco Entertainment,0,1,Xbox 360
2006-09-14,フロンティアグルーヴ,アクアゾーン 〜LIFE SIMULATOR〜,2,YES,その他,フロンティアグルーヴ,0,1,Xbox 360
2006-09-28,スクウェア・エニックス,PROJECT SYLPHEED,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2006-09-28,カプコン,デッドライジング,2,YES,その他,カプコン,0,1,Xbox 360
2006-09-28,セガ,フルオート,2,YES,その他,セガ,0,1,Xbox 360
2006-10-05,スパイク,トゥームレイダーレジェンド,2,YES,その他,スパイク,0,1,Xbox 360
2006-10-05,フロム・ソフトウェアMicrosoft Game Studios,天誅 千乱Tenchu Z,2,YES,その他,フロム・ソフトウェアMicrosoft Game Studios,0,1,Xbox 360
2006-10-12,THQジャパン,Moto GP 2006,2,YES,その他,THQジャパン,0,1,Xbox 360
2006-10-12,マイクロソフトRockstar Games,Rockstar Games Presents Table Tennis,2,YES,その他,マイクロソフトRockstar Games,0,1,Xbox 360
2006-11-02,THQジャパン,ザ・アウトフィット,2,YES,その他,THQジャパン,0,1,Xbox 360
2006-11-22,エレクトロニック・アーツ,NBAライブ07,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-11-22,スパイクActivision,X-MEN THE OFFICIAL GAME,2,YES,その他,スパイクActivision,0,1,Xbox 360
2006-11-22,バンダイナムコゲームス,カルドセプト サーガ,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2006-11-22,テクモ,デッド オア アライブ エクストリーム2,2,YES,その他,テクモ,0,1,Xbox 360
2006-11-30,バンプレスト,スーパーロボット大戦XO,2,YES,その他,バンプレスト,0,1,Xbox 360
2006-12-07,バンダイナムコゲームス,ゼーガペイン NOT,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2006-12-07,マイクロソフト,ブルードラゴン,2,YES,その他,マイクロソフト,0,1,Xbox 360
2006-12-14,ディースリー・パブリッシャー,お姉チャンバラ vorteX 〜忌血を継ぐ者たち〜,2,YES,その他,ディースリー・パブリッシャー,0,1,Xbox 360
2006-12-14,セガ,ファンタシースターユニバース,2,YES,その他,セガ,0,1,Xbox 360
2006-12-14,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン XPro Evolution Soccer 6,2,YES,その他,コナミデジタルエンタテインメント,0,1,Xbox 360
2006-12-14,ディースリー・パブリッシャー,地球防衛軍3Earth Defense Force 2017,2,YES,その他,ディースリー・パブリッシャー,0,1,Xbox 360
2006-12-21,アートディンク505 Games,A列車で行こうHXA-Train HX,2,YES,その他,アートディンク505 Games,0,1,Xbox 360
2006-12-21,エレクトロニック・アーツ,MADDEN NFL07,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-12-21,セガ,ソニック・ザ・ヘッジホッグ,2,YES,その他,セガ,0,1,Xbox 360
2006-12-21,エレクトロニック・アーツ,ニード・フォー・スピード カーボン,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2006-12-21,カプコン,ロスト プラネット エクストリーム コンディション,2,YES,その他,カプコン,0,1,Xbox 360
2006-12-28,スパイク2K Games,Prey,2,YES,その他,スパイク2K Games,0,1,Xbox 360
2007-01-11,マイクロソフト,あつまれ!ピニャータ,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-01-18,マイクロソフト,Gears of War,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-01-25,THQジャパン,WWE 2007 SmackDown!vs RawWWE SmackDown vs. Raw 2007,2,YES,その他,THQジャパン,0,1,Xbox 360
2007-01-25,バンダイナムコゲームス,アイドルマスター,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-01-25,エレクトロニック・アーツ,ゴッドファーザーThe Godfather: The Game,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-01-25,AQインタラクティブ,ヴァンパイアレイン,2,YES,その他,AQインタラクティブ,0,1,Xbox 360
2007-02-08,ハドソンMicrosoft Game Studios,FuzionFrenzy2,2,YES,その他,ハドソンMicrosoft Game Studios,0,1,Xbox 360
2007-02-08,アイディアファクトリー,ディアーリオ リバース ムーン レジェンド,2,YES,その他,アイディアファクトリー,0,1,Xbox 360
2007-02-22,ユービーアイソフト,スプリンターセル 二重スパイTom Clancy's Splinter Cell: Double Agent,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2007-02-22,マイクロソフト,ライオットアクトCrackdown,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-03-22,フロム・ソフトウェアSega505 Games,アーマード・コア4,2,YES,その他,フロム・ソフトウェアSega505 Games,0,1,Xbox 360
2007-03-29,アイディアファクトリー,アブソリュート ブレイジングインフィニティ,2,YES,その他,アイディアファクトリー,0,1,Xbox 360
2007-03-29,スパイクActivision,コール オブ デューティ3,2,YES,その他,スパイクActivision,0,1,Xbox 360
2007-04-26,アタリジャパン,テストドライブ アンリミテッド,2,YES,その他,アタリジャパン,0,1,Xbox 360
2007-04-26,ユービーアイソフト,レインボーシックス ベガス,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2007-05-24,マイクロソフト,Forza Motorsport 2,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-05-24,エレクトロニック・アーツ,NBAストリートホームコート,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-06-14,バンダイナムコゲームス,トラスティベル 〜ショパンの夢〜Eternal Sonata,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-06-21,THQジャパン,Saints Row,2,YES,その他,THQジャパン,0,1,Xbox 360
2007-06-21,マイクロソフト,シャドウラン,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-06-21,エレクトロニック・アーツ,デフジャムアイコン,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-07-12,ユービーアイソフト,ゴーストリコン アドバンスウォーファイター2Tom Clancy's Ghost Recon Advanced Warfighter 2,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2007-07-26,スパイク2K Games,The Elder Scrolls IV: Oblivion,2,YES,その他,スパイク2K Games,0,1,Xbox 360
2007-08-30,スパイクEidos Interactive,Hitman: Blood Money,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2007-09-06,コーエーVivendi Games,Fatal Inertia,2,YES,その他,コーエーVivendi Games,0,1,Xbox 360
2007-09-13,コーエー,無双OROCHIWarriors Orochi,2,YES,その他,コーエー,0,1,Xbox 360
2007-09-20,エレクトロニック・アーツ,マッデンNFL 08,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-09-27,マイクロソフト,Halo 3,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-10-11,マイクロソフト,PGR4 - プロジェクトゴッサムレーシング4 -,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-10-11,サクセス,オペレーション・ダークネス,2,YES,その他,サクセス,0,1,Xbox 360
2007-10-18,タカラトミー,ゾイド オルタナティブ,2,YES,その他,タカラトミー,0,1,Xbox 360
2007-10-18,バンダイナムコゲームス,ビューティフル塊魂Beautiful Katamari,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-10-25,コーエー,BLADESTORM 百年戦争Bladestorm: The Hundred Years' War,2,YES,その他,コーエー,0,1,Xbox 360
2007-11-01,バンダイナムコゲームス,エースコンバット6 解放への戦火Ace Combat 6: Fires of Liberation,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-11-08,エレクトロニック・アーツEidos Interactive,JUST CAUSE ビバ・レボリューションJust Cause,2,YES,その他,エレクトロニック・アーツEidos Interactive,0,1,Xbox 360
2007-11-08,エレクトロニック・アーツ,NBAライブ 08,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-11-08,スパイク2K Sports,メジャーリーグベースボール 2K7,2,YES,その他,スパイク2K Sports,0,1,Xbox 360
2007-11-11,コーエー,真・三國無双5Dynasty Warriors 6,2,YES,その他,コーエー,0,1,Xbox 360
2007-11-20,セガ,ファンタシースターユニバース イルミナスの野望,2,YES,その他,セガ,0,1,Xbox 360
2007-11-22,エレクトロニック・アーツ,ハリー・ポッターと不死鳥の騎士団Harry Potter and the Order of the Phoenix,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-11-22,スクウェア・エニックス,ファイナルファンタジーXI アルタナの神兵Final Fantasy XI: Wings of the Goddess,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2007-11-22,スクウェア・エニックス,ファイナルファンタジーXI ヴァナ・ディールコレクション,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2007-11-22,エレクトロニック・アーツ,メダル・オブ・オナー エアボーン,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-11-22,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2008Pro Evolution Soccer 2008,2,YES,その他,コナミデジタルエンタテインメント,0,1,Xbox 360
2007-11-29,アークシステムワークス,GUILTY GEAR 2 OVERTURE,2,YES,その他,アークシステムワークス,0,1,Xbox 360
2007-11-29,ユービーアイソフト,アサシン クリード,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2007-11-29,アイディアファクトリー,アポカリプス〜ディザイアネクスト〜,2,YES,その他,アイディアファクトリー,0,1,Xbox 360
2007-11-29,スパイクActivision,トニー・ホーク プロジェクト8,2,YES,その他,スパイクActivision,0,1,Xbox 360
2007-12-06,THQジャパン,CONAN,2,YES,その他,THQジャパン,0,1,Xbox 360
2007-12-06,マイクロソフト,あつまれ!ピニャータ 〜レッツ☆パーティー〜Viva Piñata: Party Animals,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-12-06,セガ,バーチャファイター5 ライブアリーナVirtua Fighter 5 Online,2,YES,その他,セガ,0,1,Xbox 360
2007-12-06,マイクロソフト,ロストオデッセイ,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-12-06,ハドソン,桃太郎電鉄16 GOLD,2,YES,その他,ハドソン,0,1,Xbox 360
2007-12-13,マイクロソフト,キングダムアンダーファイア：サークルオブドゥーム,2,YES,その他,マイクロソフト,0,1,Xbox 360
2007-12-13,THQジャパン,スタントマン：イグニッション,2,YES,その他,THQジャパン,0,1,Xbox 360
2007-12-13,バンダイナムコゲームス,スマッシュコートテニス3,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-12-13,アークシステムワークス,式神の城III,2,YES,その他,アークシステムワークス,0,1,Xbox 360
2007-12-20,エレクトロニック・アーツ,FIFA 08 ワールドクラス サッカーFIFA 08,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2007-12-27,バンダイナムコゲームス,ガンダム無双インターナショナルDynasty Warriors: Gundam,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2007-12-27,アクティビジョン,コール オブ デューティ4 モダン・ウォーフェア,2,YES,その他,アクティビジョン,0,1,Xbox 360
2008-01-17,THQジャパン,ドリフトナイツ ジュースド2Juiced 2: Hot Import Nights,2,YES,その他,THQジャパン,0,1,Xbox 360
2008-01-31,セガ,セガラリー REVO,2,YES,その他,セガ,0,1,Xbox 360
2008-01-31,カプコン,デビルメイクライ4,2,YES,その他,カプコン,0,1,Xbox 360
2008-02-07,スパイクEidos Interactive,Battlestations: Midway,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2008-02-11,○,2005年9月発売の同名作品および関連DLCを収録。,2,,その他,○,0,1,Xbox 360
2008-02-14,THQジャパン,WWE 2008 SmackDown vs RawWWE SmackDown vs. Raw 2008,2,YES,その他,THQジャパン,0,1,Xbox 360
2008-02-21,スパイク2K Games,Bioshock,2,YES,その他,スパイク2K Games,0,1,Xbox 360
2008-02-21,エレクトロニック・アーツ,バーンアウト パラダイス,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-02-28,バンダイナムコゲームス,アイドルマスター ライブフォーユー!,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2008-02-28,ユービーアイソフト,コール・オブ・ファレス,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-03-13,エレクトロニック・アーツ,Skate.,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-03-19,ユービーアイソフト,Blazing Angels 2: Secret Missions,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-03-19,フロム・ソフトウェアSega,アーマード・コア フォーアンサー,2,YES,その他,フロム・ソフトウェアSega,0,1,Xbox 360
2008-03-19,エレクトロニック・アーツ,アーミー オブ ツー,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-03-19,エレクトロニック・アーツ,ニード・フォー・スピード プロストリート,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-03-19,コーエー,戦国無双2 with 猛将伝,2,YES,その他,コーエー,0,1,Xbox 360
2008-03-27,スパイクEidos Interactive,Tomb Raider Anniversary,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2008-03-27,ディースリー・パブリッシャー,ダークセクター,2,YES,その他,ディースリー・パブリッシャー,0,1,Xbox 360
2008-03-27,サクセス,ライデンファイターズ エイシズ,2,YES,その他,サクセス,0,1,Xbox 360
2008-04-10,ディズニーインタラクティブスタジオBuena Vista Games,テュロック,2,YES,その他,ディズニーインタラクティブスタジオBuena Vista Games,0,1,Xbox 360
2008-04-24,THQジャパン,フロントライン フュエル・オブ・ウォー,2,YES,その他,THQジャパン,0,1,Xbox 360
2008-04-24,ユービーアイソフト,レインボーシックス ベガス 2Tom Clancy's Rainbow Six: Vegas 2,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-05-15,スパイク2K Games,ザ・ダークネス,2,YES,その他,スパイク2K Games,0,1,Xbox 360
2008-05-22,エレクトロニック・アーツ,オレンジボックス,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-05-22,サクセス,ストラングルホールド (ゲーム),2,YES,その他,サクセス,0,1,Xbox 360
2008-05-29,マイクロソフトCodemasters,オーバーロード:魔王サマ 復活ノ時Overlord,2,YES,その他,マイクロソフトCodemasters,0,1,Xbox 360
2008-05-29,アークシステムワークス,バトルファンタジア,2,YES,その他,アークシステムワークス,0,1,Xbox 360
2008-05-29,カプコン,ロストプラネット コロニーズLost Planet: Extreme Condition Colonies Edition,2,YES,その他,カプコン,0,1,Xbox 360
2008-06-05,エレクトロニック・アーツ,FIFA ストリート3,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-06-05,テクモMicrosoft Game Studios,NINJA GAIDEN 2,2,YES,その他,テクモMicrosoft Game Studios,0,1,Xbox 360
2008-06-05,バンダイナムコゲームスAtari,ドラゴンボールZ バーストリミット,2,YES,その他,バンダイナムコゲームスAtari,0,1,Xbox 360
2008-06-19,ラッセルEmpire Interactive,フラットアウト アルティメット カルネージ,2,YES,その他,ラッセルEmpire Interactive,0,1,Xbox 360
2008-06-26,バンダイナムコゲームス,ガンダム オペレーショントロイ,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2008-06-26,エレクトロニック・アーツ,バトルフィールド バッド カンパニー,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-07-10,スパイクEidos Interactive,KANE&LYNCH: DEAD MEN,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2008-07-17,ユービーアイソフト,マイトアンドマジック エレメンツDark Messiah of Might and Magic: Elements,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-07-24,ベセスダ・ソフトワークス,BULLYBully: Scholarship Edition,2,YES,その他,ベセスダ・ソフトワークス,0,1,Xbox 360
2008-07-24,アクティビジョン,ギターヒーロー3 レジェンド オブ ロック,2,YES,その他,アクティビジョン,0,1,Xbox 360
2008-07-31,セガ,セガ 北京オリンピックBeijing 2008,2,YES,その他,セガ,0,1,Xbox 360
2008-07-31,バンダイナムコゲームス,ソウルキャリバーIV,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2008-08-07,スパイク2K Sports,NBA 2K8,2,YES,その他,スパイク2K Sports,0,1,Xbox 360
2008-08-07,バンダイナムコゲームス,テイルズ オブ ヴェスペリア,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2008-08-28,プロトタイプ,CLANNAD,2,YES,その他,プロトタイプ,0,1,Xbox 360
2008-08-28,マイクロソフト,トゥー・ヒューマン,2,YES,その他,マイクロソフト,0,1,Xbox 360
2008-09-04,コーエー,無双OROCHI 魔王再臨Warriors Orochi 2,2,YES,その他,コーエー,0,1,Xbox 360
2008-09-11,マイクロソフト,あつまれ!ピニャータ2: ガーデンの大ぴんち,2,YES,その他,マイクロソフト,0,1,Xbox 360
2008-09-11,スクウェア・エニックス,インフィニット アンディスカバリー,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2008-09-11,スパイクEidos Interactive,ダブルクラッチConflict: Denied Ops,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2008-09-18,エレクトロニック・アーツMidway Games,アンリアルトーナメント3,2,YES,その他,エレクトロニック・アーツMidway Games,0,1,Xbox 360
2008-09-25,レコム,ジャンライン,2,YES,その他,レコム,0,1,Xbox 360
2008-09-25,エレクトロニック・アーツ,タイガーウッズ PGA TOUR 09,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-09-25,エレクトロニック・アーツ,マッデン NFL 09,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-10-02,モスTaito,雷電IV,2,YES,その他,モスTaito,0,1,Xbox 360
2008-10-09,アクティビジョン,ギターヒーロー エアロスミス,2,YES,その他,アクティビジョン,0,1,Xbox 360
2008-10-16,エレクトロニック・アーツ,フェイスブレイカー,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-10-23,エレクトロニック・アーツ,NBA ライブ 09,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-10-30,カプコンRockstar Games,グランド・セフト・オートIV,2,YES,その他,カプコンRockstar Games,0,1,Xbox 360
2008-10-30,アクティビジョンLucasArts,フラクチャー,2,YES,その他,アクティビジョンLucasArts,0,1,Xbox 360
2008-10-30,ユービーアイソフト,ブラザー イン アームズ ヘルズハイウェイ,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-11-13,エレクトロニック・アーツ,FIFA 09 ワールドクラスサッカー,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-11-20,コナミデジタルエンタテインメント,オトメディウスG（ゴージャス!）,2,YES,その他,コナミデジタルエンタテインメント,0,1,Xbox 360
2008-11-20,エレクトロニック・アーツ,マーセナリーズ2 ワールド イン フレームス,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-11-20,スクウェア・エニックス,ラスト レムナント,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2008-11-27,ユービーアイソフト,Far Cry 2,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-11-27,コンパイルハート,アガレスト戦記 リアピアランス,2,YES,その他,コンパイルハート,0,1,Xbox 360
2008-11-27,サイバーフロント2K Sports,メジャーリーグベースボール 2K8,2,YES,その他,サイバーフロント2K Sports,0,1,Xbox 360
2008-11-27,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2009Pro Evolution Soccer 2009,2,YES,その他,コナミデジタルエンタテインメント,0,1,Xbox 360
2008-12-04,ベセスダ・ソフトワークス,Fallout 3,2,YES,その他,ベセスダ・ソフトワークス,0,1,Xbox 360
2008-12-04,THQジャパン,Saints Row 2,2,YES,その他,THQジャパン,0,1,Xbox 360
2008-12-11,マイクロソフト,バンジョーとカズーイの大冒険 ガレージ大作戦Banjo-Kazooie: Nuts & Bolts,2,YES,その他,マイクロソフト,0,1,Xbox 360
2008-12-11,エレクトロニック・アーツ,ミラーズエッジ,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-12-18,マイクロソフト,Fable II,2,YES,その他,マイクロソフト,0,1,Xbox 360
2008-12-18,バンダイナムコゲームス,ガンダム無双2Dynasty Warriors: Gundam 2,2,YES,その他,バンダイナムコゲームス,0,1,Xbox 360
2008-12-18,エレクトロニック・アーツ,ニード・フォー・スピード アンダーカバー,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2008-12-18,ユービーアイソフト,プリンス・オブ・ペルシャ,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2008-12-18,アクティビジョンWarner Bros. Interactive Entertainment,レゴ バットマン,2,YES,その他,アクティビジョンWarner Bros. Interactive Entertainment,0,1,Xbox 360
2008-12-25,エレクトロニック・アーツAtari,アローン・イン・ザ・ダーク,2,YES,その他,エレクトロニック・アーツAtari,0,1,Xbox 360
2008-12-25,サイバーフロント2K Games,シヴィライゼーション レボリューション,2,YES,その他,サイバーフロント2K Games,0,1,Xbox 360
2009-01-15,コードマスターズ,RACE DRIVER GRID,2,YES,その他,コードマスターズ,0,1,Xbox 360
2009-01-22,エレクトロニック・アーツ,Left 4 Dead,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2009-01-29,ユービーアイソフト,エンド ウォーTom Clancy's EndWar,2,YES,その他,ユービーアイソフト,0,1,Xbox 360
2009-01-29,スパイクEidos Interactive,トゥームレイダー：アンダーワールド,2,YES,その他,スパイクEidos Interactive,0,1,Xbox 360
2009-01-29,フロム・ソフトウェアMicrosoft Game Studios,ニンジャブレイド,2,YES,その他,フロム・ソフトウェアMicrosoft Game Studios,0,1,Xbox 360
2009-02-05,スパイク,Midnight Club: Los Angeles,2,YES,その他,スパイク,0,1,Xbox 360
2009-02-05,エレクトロニック・アーツ,バーンアウトパラダイス The Ultimate Box,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2009-02-12,エレクトロニック・アーツ,スケート2,2,YES,その他,エレクトロニック・アーツ,0,1,Xbox 360
2009-02-12,カプコン,ストリートファイターIV,2,YES,その他,カプコン,0,1,Xbox 360
2009-02-19,トライアングル・サービス,シューティングラブ。200X,2,YES,その他,トライアングル・サービス,0,1,Xbox 360
2009-02-19,スクウェア・エニックス,スターオーシャン4 -THE LAST HOPE-Star Ocean: The Last Hope,2,YES,その他,スクウェア・エニックス,0,1,Xbox 360
2009-02-19,セガ,ソニック ワールドアドベンチャーSonic Unleashed,2,YES,その他,セガ,0,1,Xbox 360
